facultad,programa,tiempo_respuesta,exito
1,3,0.016426563262939453,True
2,5,0.021533489227294922,True
2,2,0.031199216842651367,True
2,4,0.0358428955078125,True
3,2,0.04108905792236328,True
5,4,0.0350642204284668,True
3,3,0.05687141418457031,True
4,4,0.059897661209106445,True
5,1,0.06557297706604004,True
5,2,0.07308053970336914,True
2,1,5.005260705947876,False
1,2,5.012339115142822,False
1,5,5.008728265762329,False
1,4,5.0106165409088135,False
1,1,5.014166593551636,False
2,3,5.005460023880005,False
3,1,5.0062150955200195,False
3,4,5.006085157394409,False
3,5,5.019973039627075,False
4,3,5.022053003311157,False
4,5,5.019782304763794,False
4,1,5.025365591049194,False
4,2,5.02399206161499,False
5,5,5.0197601318359375,False
5,3,5.022336006164551,False
