facultad,programa,tiempo_respuesta,exito
1,2,0.028067827224731445,True
4,5,0.02427959442138672,True
2,1,0.07070517539978027,True
1,4,0.07719802856445312,True
2,2,0.08499503135681152,True
2,4,0.0998992919921875,True
2,5,0.11558103561401367,True
3,2,0.1287832260131836,True
5,5,0.12165093421936035,True
5,3,0.13698959350585938,True
1,1,5.007355690002441,False
1,3,5.005876541137695,False
1,5,5.008431673049927,False
2,3,5.006510257720947,False
3,1,5.006063461303711,False
3,3,5.008036136627197,False
4,1,5.0071680545806885,False
3,5,5.008487224578857,False
3,4,5.011032342910767,False
4,2,5.006978273391724,False
4,3,5.006856918334961,False
4,4,5.007713079452515,False
5,1,5.006474256515503,False
5,2,5.009153127670288,False
5,4,5.006039619445801,False
